Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,75.580002,75.809998,74.839996,74.839996,66.014626,8935700
2015-12-01,74.870003,76.220001,74.870003,75.940002,66.984932,8391700
2015-12-02,75.730003,76.459999,75.650002,75.790001,66.852592,8104200
2015-12-03,75.830002,76.199997,75.169998,75.739998,66.808487,11177800
2015-12-04,75.980003,77.900002,75.919998,77.830002,68.652046,11961000
2015-12-07,77.540001,78.500000,77.540001,78.370003,69.128365,9460000
2015-12-08,77.680000,78.500000,77.349998,77.750000,68.581474,8312700
2015-12-09,77.599998,78.989998,77.440002,77.699997,68.537361,10081900
2015-12-10,77.910004,78.540001,77.570000,77.790001,68.616753,8984200
2015-12-11,77.510002,78.330002,77.110001,77.779999,68.607948,12280500
2015-12-14,77.629997,78.529999,77.440002,78.290001,69.057785,12179000
2015-12-15,78.709999,80.000000,78.480003,79.680000,70.283890,14113400
2015-12-16,79.980003,81.230003,79.800003,80.989998,71.439400,14102600
2015-12-17,80.980003,81.029999,80.199997,80.290001,70.821960,9864200
2015-12-18,79.949997,80.120003,78.129997,78.129997,68.916656,21342100
2015-12-21,78.629997,78.980003,78.150002,78.949997,69.639954,9105800
2015-12-22,79.160004,79.750000,78.879997,79.599998,70.213318,9872200
2015-12-23,79.949997,80.430000,79.500000,79.919998,70.495567,8254600
2015-12-24,79.660004,80.150002,79.599998,79.790001,70.380905,2498000
2015-12-28,79.739998,79.970001,79.470001,79.919998,70.495567,4150000
2015-12-29,80.220001,80.610001,79.849998,80.360001,70.883705,4406100
2015-12-30,80.459999,80.500000,80.000000,80.070000,70.627892,3793200
2015-12-31,79.910004,80.040001,79.309998,79.410004,70.045708,5077700
2016-01-04,78.360001,78.500000,77.540001,78.370003,69.128365,11529800
2016-01-05,78.440002,78.959999,78.209999,78.620003,69.348877,8133700
2016-01-06,77.669998,78.290001,77.120003,77.860001,68.678505,9551000
2016-01-07,76.849998,77.599998,76.070000,77.180000,68.078690,11973900
2016-01-08,77.360001,77.480003,75.669998,75.970001,67.011368,9676400
2016-01-11,76.169998,77.040001,75.599998,76.669998,67.628822,10209200
2016-01-12,77.000000,77.019997,75.750000,76.510002,67.487709,8774700
2016-01-13,76.970001,76.989998,75.790001,75.849998,66.905518,9310100
2016-01-14,76.099998,76.949997,75.879997,76.150002,67.170151,12835100
2016-01-15,74.500000,75.680000,74.470001,74.980003,66.138130,17023900
2016-01-19,75.800003,76.910004,75.720001,76.730003,67.681778,13457300
2016-01-20,75.290001,76.089996,74.459999,75.830002,67.470787,17795000
2016-01-21,76.019997,77.180000,75.410004,76.720001,68.262688,12712900
2016-01-22,77.400002,77.970001,76.550003,77.360001,68.832130,9465800
2016-01-25,77.199997,77.360001,76.559998,76.849998,68.378357,9870400
2016-01-26,78.000000,79.580002,77.540001,78.809998,70.122284,16374800
